grp_id,soil_series,soil_series_id,grp_properties,grp_resourcefullness,grp_properties_upper_organic,grp_properties_upper_N,grp_properties_upper_P,grp_properties_upper_K,grp_properties_upper_pH,grp_properties_lower_organic,grp_properties_lower_N,grp_properties_lower_P,grp_properties_lower_K,grp_properties_lower_pH,grp_properties_upper_pH_upper,grp_properties_upper_pH_lower,grp_properties_lower_pH_upper,grp_properties_lower_pH_lower,grp_awc,grp_awc_lst,grp_awc_min,grp_awc_max,grp_awc_avg
18,ชุดดินชลบุรี (Cb) ชุดดินไชยา (Cya) ชุดดินโคกสำโรง (Ksr)  ชุดดินเขาย้อย (Kyo) หรือดินคล้ายอื่นๆ  ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Cb', 'Cya', 'Ksr', 'Kyo']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  หรือจากการสลายตัวผุพังอยู่กับที่ หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถม  ของวัสดุเนื้อหยาบ พบในบริเวณที่ราบเรียบหรือค่อนข้างราบเรียบ  ส่วนใหญ่มีน้ำแช่ขังในช่วงฤดูฝน  เป็นดินลึกที่มีการระบายน้ำค่อนข้างเลวเป็นส่วนใหญ่  เนื้อดินบนเป็นพวกดินร่วนปนทรายหรือดินร่วน   ดินล่างเป็นดินร่วนเหนียวปนทราย หรือดินร่วนเหนียว  ดินมีสีน้ำตาลอ่อนถึงสีเทา พบจุดประพวกสีน้ำตาล สีเหลือง หรือสีแดงปะปน  บางแห่งอาจพบศิลาแลงอ่อนหรือก้อนสารเคมีสะสมพวกเหล็กและแมงกานีสในดินชั้นล่าง   ดินชั้นบนมักมีปฏิกิริยาเป็นกรดจัดมากถึงกรดปานกลาง  ส่วนดินชั้นล่างจะเป็นกรดจัดถึงเป็นกลาง,ต่ำถึงปานกลาง,0.6,0.03,3.3,28.6,"[5.0, 6.5]",0.4,0.020000000000000004,2.4,28.8,"[5.5, 7.0]",6.5,5.0,7.0,5.5,"มีค่าระหว่าง 15.65-17.06 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 16.35 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['15.65', '17.06', '16.35', '120', '33', '1,500']",15.65,17.06,16.35
19,ชุดดินมะขาม (Mak) ชุดดินวิเชียรบุรี (Wb) หรือดินคล้ายอื่นๆ  ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Mak', 'Wb']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  หรือจากการสลายตัวผุพัง แล้วถูกเคลื่อนย้ายมาทับถม ของวัสดุเนื้อหยาบ  พบในบริเวณที่ราบเรียบหรือค่อนข้างราบเรียบ ส่วนใหญ่มีน้ำแช่ขังในช่วงฤดูฝน  เป็นดินลึกที่มีการระบายน้ำค่อนข้างเลว เนื้อดินบนเป็นดินร่วนปนทรายหรือดินทราย  ดินล่างเป็นชั้นดินแน่นทึบ มีเนื้อดินเป็นดินร่วนเหนียวปนทรายหรือดินเหนียว  สีน้ำตาลอ่อนและสีเทา มีจุดประสีเหลืองหรือสีน้ำตาลแดง  บางแห่งอาจมีศิลาแลงอ่อนปะปนอยู่ด้วย มีปฏิกิริยาเป็นกรดจัดมากถึงด่างปานกลาง,ต่ำ,1.7,0.085,1.8,26.8,"[5.0, 6.5]",1.1,0.05500000000000001,1.8,23.3,"[7.0, 8.0]",6.5,5.0,8.0,7.0,"มีค่าระหว่าง 10.11-15.23 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 13.28 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['10.11', '15.23', '13.28', '120', '33', '1,500']",10.11,15.23,13.28
20,ชุดดินกุลาร้องไห้ (Ki) ชุดดินหนองแก (Nk) ชุดดินทุ่งสัมฤทธิ์  (Tsr) ชุดดินอุดร (Ud) หรือดินคล้ายอื่นๆ  ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Ki', 'Nk', 'Tsr', 'Ud']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  หรือจากการสลายตัวผุพังอยู่กับที่  หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถม ของวัสดุเนื้อหยาบ  ที่มีชั้นหินเกลือรองรับอยู่  หรืออาจได้รับอิทธิพลจากการแพร่กระจายของเกลือทางผิวดิน พบในบริเวณที่ราบเรียบหรือค่อนข้างราบเรียบ  มีน้ำแช่ขังในช่วงฤดูฝน เป็นดินลึกที่มีการระบายน้ำค่อนข้างเลวถึงดีปานกลาง  เนื้อดินบนเป็นดินร่วนปนทรายหรือดินทราย   ส่วนดินล่างเป็นชั้นดินแน่นทึบที่มีการสะสมเกลือโซเดียม  มีเนื้อดินเป็นดินร่วนเหนียวปนทราย หรือดินร่วนปนดินเหนียว มีสีน้ำตาลอ่อนถึงสีเทา    พบจุดประพวกสีน้ำตาล สีเหลือง หรือสีแดงปะปน  หรือก้อนสารเคมีสะสมพวกเหล็กและแมงกานีสในดินชั้นล่าง  ดินมีความอุดมสมบูรณ์ตามธรรมชาติต่ำ  ดินชั้นบนโดยมากจะมีปฏิกิริยาเป็นกรดปานกลางถึงเป็นกลาง  ส่วนดินชั้นล่างมักมีปฏิกิริยาเป็นด่างเล็กน้อยถึงเป็นด่างจัด แต่ถ้ามีก้อนปูนปะปน  จะมีปฏิกิริยาเป็นกลางถึงด่างจัด  ตามปกติในฤดูแล้งจะมีคราบเกลือเกิดขึ้นทั่วไปบนผิวดิน,ต่ำ,0.4,0.020000000000000004,4.2,71.0,"[6.0, 7.0]",0.2,0.010000000000000002,3.2,76.8,"[7.5, 8.5]",7.0,6.0,8.5,7.5,"มีค่าระหว่าง 14.79-16.11 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 15.51 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['14.79', '16.11', '15.51', '120', '33', '1,500']",14.79,16.11,15.51
21,ชุดดินเพชรบุรี (Pb) ชุดดินสรรพยา (Sa) หรือดินคล้ายอื่นๆ  ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Pb', 'Sa']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  หรือจากการสลายตัวผุพังอยู่กับที่  หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถมของวัสดุเนื้อหยาบ  พบในบริเวณที่ราบเรียบหรือค่อนข้างราบเรียบ ส่วนใหญ่มีน้ำแช่ขังในช่วงฤดูฝน  มีสภาพพื้นที่ราบเรียบหรือค่อนข้างราบเรียบ มีน้ำแช่ขังในช่วงฤดูฝน  เป็นดินลึกที่มีการระบายน้ำค่อนข้างเลว เนื้อดินเป็นพวกดินร่วนหยาบ  โดยมีเนื้อดินบนเป็นพวกดินร่วนปนทรายหรือดินทรายปนดินร่วน  ดินล่างเป็นดินร่วนปนทราย สีพื้นเป็นสีเทาหรือสีน้ำตาลปนเทา  มีจุดประสีน้ำตาลปนเหลืองหรือสีเหลืองปนน้ำตาล และอาจพบมีศิลาแลงอ่อนในดินชั้นล่าง  ปฏิกิริยาดินเป็นกรดจัดมากถึงเป็นกรดเล็กน้อย,ปานกลาง,2.4,0.12,11.5,75.7,"[5.0, 6.0]",1.6,0.08000000000000002,8.5,59.6,"[5.0, 6.5]",6.0,5.0,6.5,5.0,"มีค่าระหว่าง 15.60-16.70 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 16.17 เปอร์เซ็นต์โดยน้ำหนักภายในความลึก 
                        120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['15.60', '16.70', '16.17', '120', '33', '1,500']",15.60,16.70,16.17
22,ชุดดินน้ำกระจาย (Ni) ชุดดินสันทราย (Sai) ชุดดินสีทน (St) หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Ni', 'Sai', 'St']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  หรือจากการสลายตัวผุพังอยู่กับที่ หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถมของวัสดุเนื้อหยาบ  พบในบริเวณที่ราบเรียบหรือค่อนข้างราบเรียบ ส่วนใหญ่มีน้ำแช่ขังในช่วงฤดูฝน  มีสภาพพื้นที่ราบเรียบหรือค่อนข้างราบเรียบ มีน้ำแช่ขังในช่วงฤดูฝน  เป็นดินลึกที่มีการระบายน้ำค่อนข้างเลว เนื้อดินเป็นพวกดินร่วนหยาบ โดยมีเนื้อดินบนเป็นพวกดินร่วนปนทรายหรือดินทรายปนดินร่วน  ดินล่างเป็นดินร่วนปนทราย สีพื้นเป็นสีเทาหรือสีน้ำตาลปนเทา  มีจุดประสีน้ำตาลปนเหลืองหรือสีเหลืองปนน้ำตาล และอาจพบมีศิลาแลงอ่อนในดินชั้นล่าง  ปฏิกิริยาดินเป็นกรดจัดมากถึงเป็นกลาง,ต่ำ,1.5,0.07500000000000001,5.2,51.1,"[5.0, 6.0]",0.9,0.045000000000000005,3.8,40.2,"[6.0, 7.0]",6.0,5.0,7.0,6.0,"มีค่าระหว่าง 9.10-18.61 
                          เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 11.66 เปอร์เซ็นต์โดยน้ำหนัก 
                          ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                          (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                          -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                          -1,500 กิโลพาสคาล)","['9.10', '18.61', '11.66', '120', '33', '1,500']",9.10,18.61,11.66
23,ชุดดินบางละมุง (Blm) ชุดดินทรายขาว (Sak) ชุดดินวัลเปรียง  (Wp) หรือดินคล้ายอื่นๆ  ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Blm', 'Sak', 'Wp']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุกำเนิดดินพวกตะกอนลำน้ำเนื้อหยาบ  พบในบริเวณที่ลุ่มระหว่างสันทรายหรือระหว่างเนินทรายชายฝั่งทะเล มีสภาพพื้นที่ราบเรียบหรือค่อนข้างราบเรียบ  มีน้ำแช่ขังในช่วงฤดูฝน เป็นดินลึกที่มีการระบายน้ำค่อนข้างเลวถึงเลว  เนื้อดินเป็นพวกดินทราย สีดินเป็นสีเทา พบจุดประสีน้ำตาล หรือสีเหลือง  บางแห่งมีเปลือกหอยปะปนอยู่ในเนื้อดินชั้นล่าง ปฏิกิริยาดินเป็นกรดปานกลางถึงเป็นด่างปานกลาง  แต่ถ้ามีเปลือกหอยปะปนอยู่ ปฏิกิริยาดินเป็นกลางถึงเป็นด่างจัด,ต่ำ,1.6,0.08000000000000002,2.3,185.0,"[6.0, 7.0]",1.0,0.05,1.7,170.3,"[7.0, 8.0]",7.0,6.0,8.0,7.0,"มีค่าระหว่าง 4.08-5.45 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 4.81 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['4.08', '5.45', '4.81', '120', '33', '1,500']",4.08,5.45,4.81
24,ชุดดินบ้านบึง (Bbg) ชุดดินท่าอุเทน (Tu) ชุดดินอุบล (Ub) หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Bbg', 'Tu', 'Ub']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ  หรือจากการสลายตัวผุพังอยู่กับที่ หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถมของวัสดุเนื้อหยาบ  พบในบริเวณที่ราบเรียบหรือค่อนข้างราบเรียบ มีน้ำแช่ขังในช่วงฤดูฝน  เป็นดินลึกมากที่มีการระบายน้ำค่อนข้างเลวถึงดีปานกลาง  เนื้อดินเป็นดินทรายปนดินร่วน หรือดินทราย สีดินเป็นสีน้ำตาลปนเทาหรือสีเทาปนชมพู  พบจุดประสีน้ำตาล สีเหลืองหรือสีเทา  ในดินชั้นล่างบางแห่งจะพบชั้นที่มีการสะสมอินทรียวัตถุ เป็นชั้นบางๆ  ปฏิกิริยาดินเป็นกรดจัดมากถึงกรดเล็กน้อย,ต่ำ,0.5,0.025,1.5,10.7,"[5.0, 6.5]",0.3,0.015,1.3,10.7,"[5.5, 6.5]",6.5,5.0,6.5,5.5,"มีค่าระหว่าง 5.24-9.68 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 7.30 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['5.24', '9.68', '7.30', '120', '33', '1,500']",5.24,9.68,7.30
25,ชุดดินกันตัง (Kat) ชุดดินอ้น (On) ชุดดินเพ็ญ (Pn)  ชุดดินพะยอมงาม (Pym) ชุดดินสะท้อน (Stn)  ชุดดินทุ่งค่าย (Tuk) ชุดดินย่านตาขาว (Yk) หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Kat', 'On', 'Pn', 'Pym', 'Stn', 'Tuk', 'Yk']",เป็นกลุ่มชุดดินที่เกิดจากวัตถุต้นกำเนิดดินพวกตะกอนน้ำพา  หรือจากการสลายตัวผุพังอยู่กับที่  หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถมของวัสดุเนื้อหยาบ  วางทับอยู่บนชั้นหินผุ พบในบริเวณที่ราบเรียบหรือค่อนข้างราบเรียบ  มีน้ำแช่ขังในช่วงฤดูฝน เป็นดินตื้นที่มีการระบายน้ำค่อนข้างเลว  มีเนื้อดินบนเป็นพวกดินร่วนปนทราย หรือดินร่วน  ส่วนดินชั้นล่างเป็นดินเหนียวหรือดินร่วนปนดินเหนียวที่มีกรวดหรือลูกรังปะปนเป็นปริมาณมากภายในความลึก  50 ซม. ดินมีสีน้ำตาลอ่อนถึงสีเทา และพบจุดประพวกสีน้ำตาล สีเหลือง หรือสีแดงปะปน  ใต้ชั้นลูกรังอาจพบชั้นดินเหนียวที่มีศิลาเเลงอ่อนปะปน มีปฏิกิริยาดินเป็นกรดจัดมากถึงกรดปานกลาง,ต่ำ,1.3,0.065,2.5,34.3,"[5.0, 6.0]",1.1,0.05500000000000001,2.4,38.0,"[4.5, 5.5]",6.0,5.0,5.5,4.5,"มีค่าระหว่าง 14.96-16.84 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 16.12 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['14.96', '16.84', '16.12', '120', '33', '1,500']",14.96,16.84,16.12
26,ชุดดินอ่าวลึก (Ak) ชุดดินห้วยโป่ง (Hp) ชุดดินกระบี่ (Kbi)  ชุดดินโคกกลอย (Koi) ชุดดินลำภูรา (Ll)  ชุดดินปากจั่น (Pac) ชุดดินพังงา (Pga)  ชุดดินภูเก็ต (Pk) ชุดดินปะทิว (Ptu) ชุดดินท้ายเหมือง (Tim) หรือดินคล้ายอื่นๆ  ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้,"['Ak', 'Hp', 'Kbi', 'Koi', 'Ll', 'Pac', 'Pga', 'Pk', 'Ptu', 'Tim']",เป็นกลุ่มชุดดินที่พบในเขตฝนตกชุก  เช่น ภาคใต้ ภาคตะวันออก วัตถุต้นกำเนิดดินเกิดจากการสลายตัวผุพังอยู่กับที่  หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถมของวัสดุเนื้อละเอียด  ที่มาจากหินต้นกำเนิดชนิดต่างๆ ทั้งหินอัคนี หินตะกอน หรือหินแปร  พบบริเวณพื้นที่ดอน มีลักษณะเป็นลูกคลื่นจนถึงพื้นที่เนินเขา  เป็นดินลึกมาก มีการระบายน้ำดี  เนื้อดินเป็นพวกดินเหนียว สีดินเป็นสีน้ำตาล สีเหลืองหรือสีแดง  ปฏิกิริยาดินเป็นกรดจัดมากถึงกรดปานกลาง,ต่ำ,1.6,0.08000000000000002,4.0,17.4,"[4.5, 5.5]",1.2,0.06,4.1,17.8,"[5.0, 6.0]",5.5,4.5,6.0,5.0,"มีค่าระหว่าง 15.45-20.38 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 18.15 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['15.45', '20.38', '18.15', '120', '33', '1,500']",15.45,20.38,18.15
27,"ชุดดินหนองบอน (Nb) ชุดดินท่าใหม่ 
                        (Ti)หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้",['Nb'],"เป็นกลุ่มชุดดินที่พบในเขตฝนตกชุก 
                        เช่น ภาคตะวันออก เกิดจากการสลายตัวผุพังของหินภูเขาไฟ พวกหินบะซอลต์ 
                        พบในบริเวณพื้นที่ดอน มีสภาพพื้นที่เป็นลูกคลื่นลอนลาดถึงลูกคลื่นลอนชัน 
                        เป็นดินลึกมาก มีการระบายน้ำดี เนื้อดินเป็นพวกดินเหนียวที่ค่อนข้างร่วนซุยและมีโครงสร้างดี 
                        สีดินเป็นสีน้ำตาลปนแดง หรือสีแดง ปฏิกิริยาดินเป็นกรดจัดถึงเป็นกลาง",ปานกลาง,1.0,0.05,36.2,72.6,"[5.5, 7.0]",,-1.0,,,"[-1, -1]",7.0,5.5,-1.0,-1.0,"มีค่าระหว่าง 14.59-19.02 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 16.24 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['14.59', '19.02', '16.24', '120', '33', '1,500']",14.59,19.02,16.24
28,"ชุดดินชัยบาดาล (Cd) ชุดดินดงลาน 
                        (Dl) ชุดดินลพบุรี (Lb) ชุดดินน้ำเลน (Nal) ชุดดินวังชมภู 
                        (Wc)หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Cd', 'Dl', 'Lb', 'Nal']","เป็นกลุ่มชุดดินที่เกิดจากตะกอนลำน้ำ 
                        หรือเกิดจากการสลายตัวผุพังอยู่กับที่ หรือเกิดจากการสลายตัวแล้วถูกเคลื่อนย้ายมาทับถมของวัตถุต้นกำเนิดดินที่มาจากหินต้นกำเนิด 
                        พวกหินบะซอลต์ หรือหินแอนดีไซต์ พบบริเวณพื้นที่ดอน ที่อยู่ใกล้กับเขาหินปูน 
                        หรือหินภูเขาไฟ มีสภาพพื้นที่ราบเรียบหรือค่อนข้างราบเรียบ 
                        เป็นดินลึกที่มีการระบายน้ำดีปานกลางถึงดี เนื้อดินเป็นพวกดินเหนียวหรือดินเหนียวจัด 
                        หน้าดินแตกระแหงเป็นร่องลึกในฤดูแล้ง และมีรอยถูไถลในดิน 
                        สีดินเป็นสีดำ สีเทาเข้ม หรือสีน้ำตาล อาจพบจุดประสีน้ำตาลหรือสีแดงปนน้ำตาลปริมาณเล็กน้อยในดินชั้นบน 
                        ส่วนชั้นดินล่างอาจพบชั้นปูนมาร์ล ปฏิกิริยาของดินส่วนใหญ่จะเป็นกลางถึงเป็นด่างปานกลาง",ปานกลางถึงสูง,8.0,0.4,29.7,208.8,"[7.0, 8.0]",6.9,0.34500000000000003,22.9,167.2,"[7.0, 8.0]",8.0,7.0,8.0,7.0,"มีค่าระหว่าง 15.65-17.09 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 16.27 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['15.65', '17.09', '16.27', '120', '33', '1,500']",15.65,17.09,16.27
29,"ชุดดินบ้านจ้อง (Bg) ชุดดินเชียงของ 
                        (Cg) ชุดดินโชคชัย (Ci) ชุดดินแม่แตง (Mt) ชุดดินหนองมด 
                        (Nm) ชุดดินปากช่อง (Pc) ชุดดินสูงเนิน (Sn)หรือดินคล้ายอื่นๆ 
                        ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้","['Bg', 'Cg', 'Ci', 'Mt', 'Nm', 'Pc']","เป็นกลุ่มชุดดินที่เกิดจากการสลายตัวผุพังอยู่กับที่ 
                        หรือจากการสลายตัวผุพังแล้วถูกเคลื่อนย้ายมาทับถมจากวัสดุหลายชนิดที่มีเนื้อละเอียด 
                        ทั้งที่มาจากหินตะกอน หรือหินภูเขาไฟ หรือจากวัตถุต้นกำเนิดดินพวกตะกอนลำน้ำ 
                        พบบริเวณพื้นที่ดอน ที่เป็นลูกคลื่นจนถึงเนินเขา เป็นดินลึกมาก 
                        มีการระบายน้ำดี เนื้อดินเป็นพวกดินเหนียว สีดินเป็นสีน้ำตาล 
                        สีเหลืองหรือสีแดง ปฏิกิริยาดินเป็นกรดจัดมากถึงเป็นกรดเล็กน้อย",ต่ำ,2.3,0.11499999999999999,6.6,73.7,"[5.0, 6.5]",1.8,0.09000000000000001,5.5,48.8,"[4.5, 5.5]",6.5,5.0,5.5,4.5,"มีค่าระหว่าง 15.66-18.71 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 17.54 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['15.66', '18.71', '17.54', '120', '33', '1,500']",15.66,18.71,17.54
30,"ชุดดินเชียงแสน (Ce) ชุดดินดอยปุย 
                        (Dp)หรือดินคล้ายอื่นๆ ที่มีลักษณะและสมบัติจัดอยู่ในกลุ่มชุดดินนี้",['Ce'],"เป็นกลุ่มชุดดินที่พบบริเวณพื้นที่ภูเขาสูง 
                        ที่ส่วนใหญ่มีความสูงจากระดับน้ำทะเลปานกลางตั้งแต่ 500 
                        เมตรขึ้นไป เกิดจากการสลายตัวผุพังของวัตถุต้นกำเนิดดินพวกหินเนื้อละเอียด 
                        เป็นดินลึกมากที่มีการระบายน้ำดี เนื้อดินเป็นพวกดินเหนียว 
                        สีดินเป็นสีแดง มีความอุดมสมบูรณ์ตามธรรมชาติปานกลาง ปฏิกิริยาดินเป็นกรดจัดถึงเป็นกรดเล็กน้อย",ปานกลาง,4.5,0.225,2.3,237.0,"[5.5, 6.5]",3.2,0.16000000000000003,2.3,206.0,"[5.5, 6.5]",6.5,5.5,6.5,5.5,"มีค่าระหว่าง 18.07-19.85 
                        เปอร์เซ็นต์โดยน้ำหนัก เฉลี่ย 19.13 เปอร์เซ็นต์โดยน้ำหนัก 
                        ภายในความลึก 120 เซนติเมตร จากผิวหน้าดิน
                        (หมายเหตุ ปริมาณน้ำที่พืชใช้ประโยชน์ได้ หมายถึงผลต่างของความชื้นความจุสนามมีค่าพลังงาน 
                        -33 กิโลพาสคาล และความชื้นที่จุดเหี่ยวถาวรมีค่าพลังงาน 
                        -1,500 กิโลพาสคาล)","['18.07', '19.85', '19.13', '120', '33', '1,500']",18.07,19.85,19.13
